stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
202,56125,NB GRANVILLE ST FS W 41 AV,GRANVILLE ST @ W 41 AVE,49.234627,-123.139479,ZN 1, ,0,
204,50203,NB GRANVILLE ST FS W 38 AV,GRANVILLE ST @ W 38 AVE,49.237407,-123.139349,ZN 1, ,0,
205,50204,NB GRANVILLE ST FS W 36 AV,GRANVILLE ST @ W 36 AVE,49.239257,-123.139254,ZN 1, ,0,
206,50205,NB GRANVILLE ST FS W 34 AV,GRANVILLE ST @ W 34 AVE,49.241162,-123.139186,ZN 1, ,0,
207,50206,NB GRANVILLE ST FS MINTO CRES,GRANVILLE ST @ MINTO CRES,49.243095,-123.139091,ZN 1, ,0,
208,50207,NB GRANVILLE ST FS N CONNAUGHT DR,GRANVILLE ST @ N CONNAUGHT DR,49.245720,-123.139041,ZN 1, ,0,
209,50208,NB GRANVILLE ST FS NANTON AV,GRANVILLE ST @ NANTON AVE,49.247690,-123.139023,ZN 1, ,0,
210,50209,NB GRANVILLE ST FS W KING EDWARD AV,GRANVILLE ST @ W KING EDWARD AVE,49.249803,-123.138948,ZN 1, ,0,
211,50210,NB GRANVILLE ST FS BALFOUR AV,GRANVILLE ST @ BALFOUR AVE,49.252192,-123.138870,ZN 1, ,0,
212,50211,NB GRANVILLE ST FS MATTHEWS AV,GRANVILLE ST @ MATTHEWS AVE,49.253431,-123.138797,ZN 1, ,0,
213,50212,NB GRANVILLE ST FS W 16 AV,GRANVILLE ST @ W 16 AVE,49.257333,-123.138635,ZN 1, ,0,
214,50213,NB GRANVILLE ST FS W 14 AV,GRANVILLE ST @ W 14 AVE,49.259192,-123.138594,ZN 1, ,0,
215,50214,NB GRANVILLE ST FS W 12 AV,GRANVILLE ST @ W 12 AVE,49.261070,-123.138525,ZN 1, ,0,
217,50216,NB GRANVILLE ST FS W BROADWAY,GRANVILLE ST @ W BROADWAY,49.263869,-123.138423,ZN 1, ,0,
218,50217,NB GRANVILLE ST FS W 7 AV,GRANVILLE ST @ W 7 AVE,49.265619,-123.138354,ZN 1, ,0,
4879,50218,NB GRANVILLE ST FS W 5 AV,GRANVILLE ST @ W 5 AVE,49.266968,-123.138296,ZN 1, ,0,
763,50756,WB SW MARINE DR NS GRANVILLE ST,SW MARINE DR @ GRANVILLE ST,49.205081,-123.139868,ZN 1, ,0,
765,50758,NB GRANVILLE ST FS W 70 AV,GRANVILLE ST @ W 70 AVE,49.208815,-123.140395,ZN 1, ,0,
766,50759,NB GRANVILLE ST FS W 67 AV,GRANVILLE ST @ W 67 AVE,49.211157,-123.140303,ZN 1, ,0,
768,50761,NB GRANVILLE ST FS W 62 AV,GRANVILLE ST @ W 62 AVE,49.215322,-123.140156,ZN 1, ,0,
769,50762,NB GRANVILLE ST NS PARK DR,GRANVILLE ST @ PARK DR,49.217081,-123.140101,ZN 1, ,0,
770,50763,NB GRANVILLE ST FS W 57 AV,GRANVILLE ST @ W 57 AVE,49.219606,-123.139956,ZN 1, ,0,
771,50764,NB GRANVILLE ST FS W 55 AV,GRANVILLE ST @ W 55 AVE,49.221101,-123.139899,ZN 1, ,0,
772,50765,NB GRANVILLE ST FS W 53 AV,GRANVILLE ST @ W 53 AVE,49.222887,-123.139843,ZN 1, ,0,
774,50767,NB GRANVILLE ST FS W 49 AV,GRANVILLE ST @ W 49 AVE,49.227226,-123.139671,ZN 1, ,0,
776,50769,NB GRANVILLE ST FS W 46 AV,GRANVILLE ST @ W 46 AVE,49.229969,-123.139554,ZN 1, ,0,
777,50770,NB GRANVILLE ST FS W 43 AV,GRANVILLE ST @ W 43 AVE,49.232740,-123.139479,ZN 1, ,0,
8394,50757,NB GRANVILLE ST FS W 71 AV,GRANVILLE ST @ W 71 AVE,49.207357,-123.140439,ZN 1, ,0,
9551,58133,NB GRANVILLE ST FS W 64 AV-,GRANVILLE ST @ W 64 AVE,49.213319,-123.140224,ZN 1, ,0,
762,50755,WB SW MARINE DR FS MONTCALM ST,SW MARINE DR @ MONTCALM ST,49.204133,-123.137044,ZN 1, ,0,
11403,54826,NB GRANVILLE ST FS W 10 AV,GRANVILLE ST @ W 10TH AVE,49.262957,-123.138459,ZN 1, ,0,
11426,58593,NB GRANVILLE ST FS DRAKE ST,GRANVILLE ST @ DRAKE ST,49.276223,-123.127367,ZN 1, ,0,
11429,50220,NB GRANVILLE ST FS DAVIE ST,GRANVILLE ST @ DAVIE ST,49.277283,-123.125799,ZN 1, ,0,
11523,61293,NB GRANVILLE ST NS W GEORGIA ST,GRANVILLE ST @ W GEORGIA ST,49.282293,-123.118228,ZN 1, ,0,
11525,60993,NB GRANVILLE ST NS DUNSMUIR ST,GRANVILLE ST @ DUNSMUIR ST,49.283454,-123.116471,ZN 1, ,0,
11533,50222,NB GRANVILLE ST FS NELSON ST,GRANVILLE ST @ NELSON ST,49.279413,-123.122582,ZN 1, ,0,
11532,58144,NB GRANVILLE ST FS SMITHE ST,GRANVILLE ST @ SMITHE ST,49.280492,-123.120919,ZN 1, ,0,
645,50639,SB RICHARDS ST FS W CORDOVA ST,RICHARDS ST @ W CORDOVA ST,49.284571,-123.111290,ZN 1, ,0,
11527,50034,NB GRANVILLE ST FS W HASTINGS ST,GRANVILLE ST @ W HASTINGS ST,49.285437,-123.113442,ZN 1, ,0,
35,50035,EB W CORDOVA ST FS SEYMOUR ST,W CORDOVA ST @ SEYMOUR ST,49.285058,-123.111637,ZN 1, ,0,
11616,58313,NB GRANVILLE ST NS W PENDER ST,GRANVILLE ST @ W PENDER ST,49.284468,-123.114929,ZN 1, ,0,
745,50738,MARPOLE LOOP BAY 1,MARPOLE LOOP @ BAY 1,49.202749,-123.133731,ZN 1, ,0,
1063,51054,SB NOOTKA ST FS E 27 AV,NOOTKA ST @ E 27 AVE,49.245949,-123.041732,ZN 1, ,0,
1064,51055,WB E 29 AV FS NOOTKA ST,E 29 AVE @ NOOTKA ST,49.244634,-123.042578,ZN 1, ,0,
8907,58401,RENFREW STATION BAY 2,RENFREW ST @ E 12 AVE,49.258775,-123.044431,ZN 1, ,0,
8903,58493,29TH AV STN BAY 1,29TH AVE STATION LOOP @ BAY 1,49.244454,-123.046129,ZN 1, ,0,
1018,59042,63 AV LOOP,63RD LOOP @ GRANVILLE ST,49.213829,-123.140659,ZN 1, ,0,
1019,51010,WB W 64 AV FS ADERA ST,W 64 AVE @ ADERA ST,49.213278,-123.143947,ZN 1, ,0,
1020,51011,NB ANGUS DR FS W 64 AV,ANGUS DR @ W 64 AVE,49.213556,-123.148337,ZN 1, ,0,
1021,51012,NB ANGUS DR NS W 61 AV,ANGUS DR @ W 61 AVE,49.215570,-123.148270,ZN 1, ,0,
1022,51013,NB WEST BLVD AT W 60 AV,W BOULEVARD @ W 60 AVE,49.217171,-123.148986,ZN 1, ,0,
1023,51014,NB WEST BLVD FS W 57 AV,W BOULEVARD @ W 57 AVE,49.219764,-123.150548,ZN 1, ,0,
1024,51015,NB WEST BLVD FS W 54 AV,W BOULEVARD @ W 54 AVE,49.221956,-123.151864,ZN 1, ,0,
1025,51016,NB WEST BLVD NS W 51 AV,W BOULEVARD @ W 51 AVE,49.224693,-123.153496,ZN 1, ,0,
1026,51017,NB ARBUTUS ST FS W 51 AV,ARBUTUS ST @ W 51 AVE,49.225262,-123.155057,ZN 1, ,0,
1027,51018,NB WEST BLVD FS W 49 AV,W BOULEVARD @ W 49 AVE,49.227440,-123.155127,ZN 1, ,0,
1028,51019,NB WEST BLVD AT W 46 AV,W BOULEVARD @ W 46 AVE,49.229927,-123.155620,ZN 1, ,0,
1029,51020,NB WEST BLVD FS W 45 AV,W BOULEVARD @ W 45 AVE,49.231148,-123.155561,ZN 1, ,0,
1030,51021,NB WEST BLVD AT W 43 AV,W BOULEVARD @ W 43 AVE,49.232770,-123.155505,ZN 1, ,0,
1031,51022,NB WEST BLVD FS W 41 AV,W BOULEVARD @ W 41 AVE,49.234858,-123.155411,ZN 1, ,0,
1032,51023,NB WEST BLVD AT W 39 AV,W BOULEVARD @ W 39 AVE,49.236471,-123.155369,ZN 1, ,0,
1033,51024,NB WEST BLVD FS W 37 AV,W BOULEVARD @ W 37 AVE,49.238568,-123.155289,ZN 1, ,0,
1035,51026,NB ARBUTUS ST FS QUILCHENA CRES,ARBUTUS ST @ QUILCHENA CRES,49.241260,-123.154062,ZN 1, ,0,
1036,51027,NB ARBUTUS ST FS W 33 AV,ARBUTUS ST @ W 33 AVE,49.242393,-123.153339,ZN 1, ,0,
1037,51028,NB ARBUTUS ST FS VALLEY DR,ARBUTUS ST @ VALLEY DR,49.245456,-123.153171,ZN 1, ,0,
1038,51029,NB ARBUTUS ST FS NANTON AV,ARBUTUS ST @ NANTON AVE,49.247963,-123.153027,ZN 1, ,0,
1039,51030,NB ARBUTUS ST FS W KING EDWARD AV,ARBUTUS ST @ W KING EDWARD AVE,49.251909,-123.152920,ZN 1, ,0,
1041,51032,NB ARBUTUS ST AT W 20 AV,ARBUTUS ST @ W 20 AVE,49.254443,-123.152857,ZN 1, ,0,
1042,58723,NB ARBUTUS ST FS W 16 AV,ARBUTUS ST @ W 16 AVE,49.257515,-123.152811,ZN 1, ,0,
1043,51034,NB ARBUTUS ST FS W 15 AV,ARBUTUS ST @ W 15 AVE,49.258481,-123.152967,ZN 1, ,0,
1044,51035,NB ARBUTUS ST FS W 12 AV,ARBUTUS ST @ W 12 AVE,49.261288,-123.152906,ZN 1, ,0,
1045,51036,NB ARBUTUS ST NS W BROADWAY,ARBUTUS ST @ W BROADWAY,49.263659,-123.152801,ZN 1, ,0,
329,50871,EB W BROADWAY FS FIR ST-,W BROADWAY @ FIR ST,49.263516,-123.140603,ZN 1, ,0,
938,50930,EB W HASTINGS ST FS SEYMOUR ST,W HASTINGS ST @ SEYMOUR ST,49.284394,-123.112631,ZN 1, ,0,
939,50931,EB W HASTINGS ST FS HOMER ST,W HASTINGS ST @ HOMER ST,49.283141,-123.110725,ZN 1, ,0,
940,50932,EB W HASTINGS ST NS ABBOTT ST,W HASTINGS ST @ ABBOTT ST,49.281957,-123.107436,ZN 1, ,0,
941,50933,EB E HASTINGS ST FS CARRALL ST,E HASTINGS ST @ CARRALL ST,49.281347,-123.103921,ZN 1, ,0,
942,50934,EB E HASTINGS ST FS MAIN ST-,E HASTINGS ST @ MAIN ST,49.281261,-123.099270,ZN 1, ,0,
943,50935,EB E HASTINGS ST FS GORE AV,E HASTINGS ST @ GORE AVE,49.281212,-123.097047,ZN 1, ,0,
944,50936,EB E HASTINGS ST FS JACKSON AV,E HASTINGS ST @ JACKSON AVE,49.281142,-123.092993,ZN 1, ,0,
945,50937,EB E HASTINGS ST FS PRINCESS AV,E HASTINGS ST @ PRINCESS AVE,49.281102,-123.091054,ZN 1, ,0,
946,50938,EB E HASTINGS ST FS HAWKS AV,E HASTINGS ST @ HAWKS AVE,49.280995,-123.086742,ZN 1, ,0,
947,50939,EB E HASTINGS ST FS CAMPBELL AV,E HASTINGS ST @ CAMPBELL AVE,49.280947,-123.084383,ZN 1, ,0,
948,50940,EB E HASTINGS ST FS GLEN DR,E HASTINGS ST @ GLEN DR,49.280875,-123.080885,ZN 1, ,0,
949,50941,EB E HASTINGS ST FS CLARK DR,E HASTINGS ST @ CLARK DR,49.281251,-123.076685,ZN 1, ,0,
951,50943,EB E HASTINGS ST FS COMMERCIAL DR,E HASTINGS ST @ COMMERCIAL DR,49.281160,-123.069987,ZN 1, ,0,
952,50944,EB E HASTINGS ST FS VICTORIA DR,E HASTINGS ST @ VICTORIA DR,49.281118,-123.065161,ZN 1, ,0,
953,50945,EB E HASTINGS ST FS LAKEWOOD DR,E HASTINGS ST @ LAKEWOOD DR,49.281083,-123.061270,ZN 1, ,0,
954,50946,EB E HASTINGS ST FS TEMPLETON DR,E HASTINGS ST @ TEMPLETON DR,49.281088,-123.059345,ZN 1, ,0,
955,50947,EB E HASTINGS ST FS NANAIMO ST,E HASTINGS ST @ NANAIMO ST,49.281078,-123.056118,ZN 1, ,0,
956,50948,EB E HASTINGS ST FS KAMLOOPS ST,E HASTINGS ST @ KAMLOOPS ST,49.281074,-123.054166,ZN 1, ,0,
957,50949,EB E HASTINGS ST FS SLOCAN ST,E HASTINGS ST @ SLOCAN ST,49.281069,-123.048919,ZN 1, ,0,
958,50950,EB E HASTINGS ST FS KASLO ST,E HASTINGS ST @ KASLO ST,49.281066,-123.046249,ZN 1, ,0,
1046,51037,SB RENFREW ST FS E HASTINGS ST,RENFREW ST @ E HASTINGS ST,49.280871,-123.044160,ZN 1, ,0,
1047,51038,SB RENFREW ST FS E GEORGIA ST,RENFREW ST @ EAST GEORGIA ST,49.278009,-123.044212,ZN 1, ,0,
1048,51039,SB RENFREW ST FS VENABLES ST,RENFREW ST @ VENABLES ST,49.276140,-123.044229,ZN 1, ,0,
1049,51040,SB RENFREW ST FS WILLIAM ST,RENFREW ST @ WILLIAM ST,49.273916,-123.044244,ZN 1, ,0,
1050,51041,SB RENFREW ST FS KITCHENER ST,RENFREW ST @ KITCHENER ST,49.272001,-123.044287,ZN 1, ,0,
1051,51042,SB RENFREW ST FS E 1 AV,RENFREW ST @ E 1 AVE,49.269094,-123.044339,ZN 1, ,0,
1052,51043,SB RENFREW ST FS E 4 AV,RENFREW ST @ E 4 AVE,49.266386,-123.044392,ZN 1, ,0,
1053,51044,SB RENFREW ST FS E 5 AV,RENFREW ST @ E 5 AVE,49.265420,-123.044427,ZN 1, ,0,
1054,51045,SB RENFREW ST FS E 8 AV,RENFREW ST @ E 8 AVE,49.262649,-123.044439,ZN 1, ,0,
1055,51046,SB RENFREW ST FS E BROADWAY,RENFREW ST @ E BROADWAY,49.261665,-123.044434,ZN 1, ,0,
1057,51048,SB RENFREW ST FS GRANDVIEW HWY,RENFREW ST @ GRANDVIEW HWY,49.257800,-123.044494,ZN 1, ,0,
1058,51049,SB RENFREW ST FS E 15 AV,RENFREW ST @ E 15 AVE,49.256041,-123.044524,ZN 1, ,0,
1059,51050,SB RENFREW ST FS E 17 AV,RENFREW ST @ E 17 AVE,49.254108,-123.044554,ZN 1, ,0,
1060,51051,SB RENFREW ST FS E 20 AV,RENFREW ST @ E 20 AVE,49.252067,-123.044557,ZN 1, ,0,
1061,51052,SB BOYD DIV FS E 22 AV,BOYD DIVERSION @ E 22 AVE,49.250336,-123.044141,ZN 1, ,0,
1062,51053,SB NOOTKA ST FS E 25 AV,NOOTKA ST @ E 25 AVE,49.247598,-123.041741,ZN 1, ,0,
235,50233,SB MAIN ST NS TERMINAL AV,MAIN ST @ TERMINAL AV,49.273018,-123.100207,ZN 1, ,0,
